SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
Laredo,2613,2130,1802,2526,3173,4433,4528,3813,3475,1857,2819,2118,35287,2010
"Rio Grande Valley
(formerly McAllen)",4236,3688,2987,3658,4845,7141,7139,7477,5595,3832,5329,3839,59766,2010
San Diego,5017,4738,4636,6413,6982,9061,7115,5858,5092,5113,4528,4012,68565,2010
Tucson,23197,16986,10907,16122,21266,31197,28579,22572,13160,10303,9280,8633,212202,2010
Yuma,582,649,711,586,819,1059,732,608,447,401,262,260,7116,2010
Coastal Border,751,677,599,576,661,752,814,689,690,575,765,671,8220,2010
Northern Border,654,631,551,470,597,702,567,665,576,646,763,609,7431,2010
Southwest Border,40890,32815,25034,34784,42790,61361,55237,47045,32955,25609,26415,22796,447731,2010
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Miami,401,441,349,447,364,466,324,325,309,330,340,305,4401,2011
New Orleans,231,144,121,156,132,105,109,124,111,63,114,99,1509,2011
Ramey,55,25,59,47,44,54,46,82,42,90,38,60,642,2011
Blaine,68,42,37,54,31,69,35,53,46,48,64,44,591,2011
Buffalo,231,190,139,161,148,203,174,158,176,157,188,189,2114,2011
Detroit,177,143,110,133,121,175,118,103,110,96,126,119,1531,2011
Grand Forks,47,34,32,24,37,56,20,24,49,52,44,49,468,2011
Havre,46,23,16,24,21,17,32,25,4,9,31,22,270,2011
Houlton,4,4,0,1,1,9,1,1,10,5,2,3,41,2011
Spokane,32,28,20,5,26,28,20,23,24,21,41,25,293,2011
Swanton,78,74,37,67,67,50,53,53,50,121,110,55,815,2011
"Big Bend
(formerly Marfa)",375,290,282,332,300,457,512,350,296,235,311,296,4036,2011
Del Rio,1043,837,704,899,1399,2132,1977,1499,1525,1386,1356,1387,16144,2011
El Centro,2201,1851,1734,2135,2569,3772,3563,3278,2904,2225,2074,1885,30191,2011
El Paso,732,660,622,779,911,1354,1380,904,816,794,711,682,10345,2011
Laredo,2286,2174,1797,2285,2943,4686,3891,3168,3205,2913,3262,3443,36053,2011
"Rio Grande Valley
(formerly McAllen)",3628,3625,3349,3485,4233,6806,6502,5953,5409,5276,5973,5004,59243,2011
San Diego,4344,3480,3233,3379,3977,4811,4031,3474,3109,3016,2863,2730,42447,2011
Tucson,11165,9097,7354,10131,11790,17056,13816,12088,9585,6923,7270,7010,123285,2011
Yuma,391,391,354,501,664,940,579,522,317,402,346,426,5833,2011
Coastal Border,687,610,529,650,540,625,479,531,462,483,492,464,6552,2011
Northern Border,683,538,391,469,452,607,453,440,469,509,606,506,6123,2011
Southwest Border,26165,22405,19429,23926,28786,42014,36251,31236,27166,23170,24166,22863,327577,2011
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Miami,216,293,195,249,180,156,159,226,137,249,207,242,2509,2012
New Orleans,49,48,39,40,42,24,22,58,22,12,21,97,474,2012
Ramey,72,100,41,51,50,68,41,39,123,41,33,43,702,2012
Blaine,50,58,47,41,53,51,42,28,40,41,41,45,537,2012
Buffalo,118,87,56,78,90,100,89,106,61,126,104,128,1143,2012
Detroit,127,109,57,62,67,95,111,67,82,67,55,51,950,2012
Grand Forks,58,46,16,29,13,30,33,26,36,43,32,56,418,2012
Havre,21,9,18,4,9,11,9,5,5,3,4,4,102,2012
Houlton,0,3,2,1,0,1,2,1,7,4,9,11,41,2012
Spokane,34,18,23,24,18,21,35,22,25,40,34,23,317,2012
Swanton,40,43,43,26,51,48,47,52,103,120,69,60,702,2012
"Big Bend
(formerly Marfa)",284,317,288,323,423,450,393,304,300,303,333,246,3964,2012
Del Rio,1364,1289,871,1204,1788,2375,2791,2480,2123,1942,1770,1723,21720,2012
El Centro,1946,1698,1401,1655,2041,2857,2805,2622,2107,1896,1411,1477,23916,2012
El Paso,647,662,534,625,812,1151,888,823,840,793,984,919,9678,2012
Laredo,2835,2846,1853,3180,3855,5154,5100,4478,4019,3670,4306,3576,44872,2012
"Rio Grande Valley
(formerly McAllen)",6201,5513,4285,5514,6709,9622,11160,11583,10112,9023,9295,8745,97762,2012
San Diego,2439,2185,2136,2185,2439,3064,2879,2787,2170,2165,2020,1992,28461,2012
Tucson,9306,8361,7100,10209,12836,16559,14095,11343,8636,6856,7116,7583,120000,2012
Yuma,590,497,515,819,676,986,517,546,362,330,332,330,6500,2012
Coastal Border,337,441,275,340,272,248,222,323,282,302,261,382,3685,2012
Northern Border,448,373,262,265,301,357,368,307,359,444,348,378,4210,2012
Southwest Border,25612,23368,18983,25714,31579,42218,40628,36966,30669,26978,27567,26591,356873,2012
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Miami,248,134,130,135,89,92,157,92,113,212,171,165,1738,2013
New Orleans,49,74,47,32,49,27,46,28,15,30,47,56,500,2013
Ramey,24,56,45,39,107,194,11,27,99,43,164,115,924,2013
Blaine,37,34,33,21,32,31,24,26,34,32,25,31,360,2013
Buffalo,106,54,60,53,47,47,73,54,78,83,58,83,796,2013
Detroit,65,58,64,58,44,50,49,43,42,67,59,51,650,2013
Grand Forks,32,27,12,19,36,31,39,36,52,73,55,57,469,2013
Havre,4,2,0,3,3,2,3,9,9,8,21,24,88,2013
Houlton,15,1,0,0,1,2,2,0,7,1,3,5,37,2013
Spokane,33,36,17,19,13,19,28,20,26,33,34,21,299,2013
Swanton,35,21,29,17,41,50,53,57,42,72,48,66,531,2013
"Big Bend
(formerly Marfa)",356,238,213,340,400,416,473,341,232,219,218,238,3684,2013
Del Rio,1792,1715,1135,1617,2223,2771,2778,2332,1695,2039,1817,1596,23510,2013
El Centro,1527,1408,1101,1103,1340,2098,1972,1513,1222,1035,1056,931,16306,2013
El Paso,977,860,629,776,1030,1176,1217,1163,857,852,852,765,11154,2013
Laredo,3829,3537,2835,3280,4628,5903,5621,5338,4029,4212,3944,3593,50749,2013
"Rio Grande Valley
(formerly McAllen)",8869,8352,6587,7190,10828,16115,18455,17522,14275,15217,16253,14790,154453,2013
San Diego,1922,1924,1795,2150,2227,3062,2833,2854,2324,2313,2069,2023,27496,2013
Tucson,9224,9185,8481,9871,11831,14990,14051,12119,9357,7014,7278,7538,120939,2013
Yuma,433,417,467,594,535,762,812,674,445,329,310,328,6106,2013
Coastal Border,321,264,222,206,245,313,214,147,227,285,382,336,3162,2013
Northern Border,327,233,215,190,217,232,271,245,290,369,303,338,3230,2013
Southwest Border,28929,27636,23243,26921,35042,47293,48212,43856,34436,33230,33797,31802,414397,2013
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
Miami,131,146,125,228,178,113,151,199,213,134,217,199,2034,2014
